task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,30.0,30.0,0.051,0.005,,0,1,DRL
2,EUROPE,,40.0,40.0,0.032,0.005,2,1,1,DRL
3,EUROPE,,55.0,55.0,0.029,0.005,2,1,1,DRL
4,BRAZIL,,70.0,70.0,0.032,0.005,1,1,1,DRL
5,EUROPE,,95.0,95.0,0.026,0.005,2,1,1,DRL
6,EUROPE,,130.0,130.0,0.025,0.005,,0,1,DRL
7,USA,,140.0,140.0,0.035,0.005,15,1,1,DRL
8,USA,falha_hardware_camera_esq,150.0,150.0,0.027,0.005,15,1,0,DRL
9,EUROPE,,155.0,155.0,0.026,0.005,2,1,1,DRL
10,USA,,170.0,170.0,0.028,0.005,15,1,1,DRL
11,EUROPE,falha_hardware_camera_esq,190.0,190.0,0.035,0.005,2,1,0,DRL
12,USA,restricao_soberania_brasil,215.0,215.0,0.03,0.005,15,1,0,DRL
13,USA,,310.0,310.0,0.029,0.005,15,1,1,DRL
14,USA,,315.0,315.0,0.04,0.005,15,1,1,DRL
15,USA,,325.0,325.0,0.026,0.005,15,1,1,DRL
16,BRAZIL,,335.0,335.0,0.025,0.005,1,1,1,DRL
17,USA,restricao_gdpr_europa,355.0,355.0,0.03,0.005,15,1,0,DRL
18,EUROPE,,395.0,395.0,0.041,0.005,2,1,1,DRL
19,USA,,410.0,410.0,0.06,0.005,15,1,1,DRL
20,EUROPE,,440.0,440.0,0.038,0.005,2,1,1,DRL
21,USA,,455.0,455.0,0.037,0.005,15,1,1,DRL
22,EUROPE,falha_hardware_camera_esq,495.0,495.0,0.037,0.005,2,1,0,DRL
23,BRAZIL,,525.0,525.0,0.03,0.005,1,1,1,DRL
24,BRAZIL,,535.0,535.0,0.026,0.005,1,1,1,DRL
25,BRAZIL,,565.0,565.0,0.035,0.005,1,1,1,DRL
26,USA,restricao_gdpr_europa,610.0,610.0,0.027,0.005,15,1,0,DRL
27,USA,,625.0,625.0,0.025,0.005,15,1,1,DRL
28,BRAZIL,restricao_gdpr_europa,685.0,685.0,0.03,0.005,1,1,0,DRL
29,EUROPE,falha_hardware_camera_esq,695.0,695.0,0.026,0.005,,0,1,DRL
30,EUROPE,restricao_gdpr_europa,710.0,710.0,0.026,0.005,2,1,1,DRL
31,BRAZIL,,720.0,720.0,0.026,0.005,1,1,1,DRL
32,USA,,740.0,740.0,0.027,0.005,15,1,1,DRL
33,EUROPE,,750.0,750.0,0.027,0.005,2,1,1,DRL
34,EUROPE,,755.0,755.0,0.026,0.005,2,1,1,DRL
35,BRAZIL,,765.0,765.0,0.025,0.005,1,1,1,DRL
36,USA,,770.0,770.0,0.024,0.005,15,1,1,DRL
37,BRAZIL,,785.0,785.0,0.023,0.005,1,1,1,DRL
38,USA,falha_hardware_camera_esq,790.0,790.0,0.025,0.005,15,1,0,DRL
39,BRAZIL,,805.0,805.0,0.026,0.005,1,1,1,DRL
40,EUROPE,,820.0,820.0,0.028,0.005,2,1,1,DRL
41,BRAZIL,,850.0,850.0,0.027,0.005,1,1,1,DRL
42,BRAZIL,,880.0,880.0,0.039,0.005,1,1,1,DRL
43,BRAZIL,,885.0,885.0,0.03,0.005,1,1,1,DRL
44,EUROPE,falha_hardware_camera_esq,905.0,905.0,0.034,0.005,2,1,0,DRL
45,EUROPE,,930.0,930.0,0.035,0.005,2,1,1,DRL
46,EUROPE,,940.0,940.0,0.028,0.005,2,1,1,DRL
47,BRAZIL,,945.0,945.0,0.027,0.005,1,1,1,DRL
48,EUROPE,,950.0,950.0,0.024,0.005,2,1,1,DRL
49,EUROPE,,965.0,965.0,0.047,0.005,2,1,1,DRL
50,BRAZIL,,970.0,970.0,0.046,0.005,1,1,1,DRL
51,BRAZIL,,975.0,975.0,0.032,0.005,1,1,1,DRL
52,USA,,995.0,995.0,0.043,0.005,15,1,1,DRL
53,BRAZIL,,1000.0,1000.0,0.028,0.005,,0,1,DRL
54,USA,restricao_soberania_brasil,1030.0,1030.0,0.029,0.005,15,1,0,DRL
55,BRAZIL,,1055.0,1055.0,0.029,0.005,1,1,1,DRL
56,USA,,1085.0,1085.0,0.031,0.005,15,1,1,DRL
57,BRAZIL,,1090.0,1090.0,0.026,0.005,1,1,1,DRL
58,USA,,1100.0,1100.0,0.025,0.005,15,1,1,DRL
59,USA,,1150.0,1150.0,0.037,0.005,15,1,1,DRL
60,USA,,1160.0,1160.0,0.029,0.005,,0,1,DRL
61,BRAZIL,,1175.0,1175.0,0.042,0.005,1,1,1,DRL
