task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,30.0,30.0,9128.373,5.0,2,1,1,LLM
2,USA,,35.0,35.0,3.681,5.0,,0,1,LLM
3,BRAZIL,,60.0,60.0,11472.372,5.0,1,1,1,LLM
4,EUROPE,,75.0,75.0,8218.714,5.0,2,1,1,LLM
5,EUROPE,,80.0,80.0,10122.474,5.0,2,1,1,LLM
6,EUROPE,,85.0,85.0,7674.196,5.0,,0,1,LLM
7,EUROPE,,110.0,110.0,8805.3,5.0,2,1,1,LLM
8,EUROPE,,130.0,130.0,7404.249,5.0,2,1,1,LLM
9,BRAZIL,,140.0,140.0,6319.181,5.0,1,1,1,LLM
10,EUROPE,,155.0,155.0,5723.919,5.0,2,1,1,LLM
11,EUROPE,,165.0,165.0,11548.924,5.0,2,1,1,LLM
12,USA,falha_hardware_camera_esq,190.0,190.0,3.676,5.0,,0,1,LLM
13,EUROPE,,220.0,220.0,10790.037,5.0,2,1,1,LLM
14,USA,,235.0,235.0,3.677,5.0,,0,1,LLM
15,EUROPE,,245.0,245.0,14952.736,5.0,,0,1,LLM
16,EUROPE,,250.0,250.0,2462.284,5.0,,0,1,LLM
17,BRAZIL,,275.0,275.0,2459.605,5.0,,0,1,LLM
18,EUROPE,,280.0,280.0,8192.115,5.0,,0,1,LLM
19,USA,,375.0,375.0,3.679,5.0,,0,1,LLM
20,BRAZIL,,385.0,385.0,4090.206,5.0,,0,1,LLM
21,BRAZIL,,425.0,425.0,7781.265,5.0,1,1,1,LLM
22,BRAZIL,restricao_soberania_brasil,440.0,440.0,11064.212,5.0,1,1,1,LLM
23,BRAZIL,,450.0,450.0,3687.133,5.0,,0,1,LLM
24,BRAZIL,,480.0,480.0,8065.137,5.0,1,1,1,LLM
25,BRAZIL,,485.0,485.0,26960.267,5.0,1,1,1,LLM
26,BRAZIL,restricao_gdpr_europa,490.0,490.0,8041.823,5.0,1,1,0,LLM
27,EUROPE,,525.0,525.0,10256.555,5.0,,0,1,LLM
28,EUROPE,,535.0,535.0,7077.449,5.0,,0,1,LLM
29,EUROPE,,565.0,565.0,23179.176,5.0,,0,1,LLM
30,EUROPE,,580.0,580.0,14330.64,5.0,,0,1,LLM
31,EUROPE,,590.0,590.0,13110.677,5.0,,0,1,LLM
32,EUROPE,falha_hardware_camera_esq,630.0,630.0,9623.811,5.0,,0,1,LLM
33,USA,,635.0,635.0,3.68,5.0,,0,1,LLM
34,BRAZIL,,640.0,640.0,12087.093,5.0,1,1,1,LLM
35,USA,,660.0,660.0,3.682,5.0,,0,1,LLM
36,BRAZIL,,670.0,670.0,12491.176,5.0,,0,1,LLM
37,BRAZIL,,700.0,700.0,8191.954,5.0,,0,1,LLM
38,EUROPE,,720.0,720.0,6777.434,5.0,,0,1,LLM
39,BRAZIL,,725.0,725.0,13153.635,5.0,,0,1,LLM
40,BRAZIL,restricao_gdpr_europa,755.0,755.0,12228.114,5.0,,0,0,LLM
41,BRAZIL,,760.0,760.0,4712.657,5.0,,0,1,LLM
42,BRAZIL,,765.0,765.0,7942.752,5.0,,0,1,LLM
43,EUROPE,restricao_soberania_brasil,790.0,790.0,2303.363,5.0,,0,0,LLM
44,EUROPE,restricao_gdpr_europa,805.0,805.0,11675.78,5.0,,0,0,LLM
45,USA,,825.0,825.0,3.683,5.0,,0,1,LLM
46,BRAZIL,,840.0,840.0,9418.658,5.0,,0,1,LLM
47,BRAZIL,,910.0,910.0,9057.029,5.0,,0,1,LLM
48,EUROPE,,930.0,930.0,11018.194,5.0,,0,1,LLM
49,EUROPE,,935.0,935.0,41578.872,5.0,,0,1,LLM
50,EUROPE,,940.0,940.0,7561.552,5.0,,0,1,LLM
51,BRAZIL,,950.0,950.0,10464.31,5.0,,0,1,LLM
52,BRAZIL,,960.0,960.0,27669.426,5.0,,0,1,LLM
53,USA,,970.0,970.0,3.678,5.0,,0,1,LLM
54,USA,,980.0,980.0,3.676,5.0,,0,1,LLM
55,USA,falha_hardware_camera_esq,985.0,985.0,3.678,5.0,,0,1,LLM
56,EUROPE,,990.0,990.0,24968.188,5.0,,0,1,LLM
57,EUROPE,,995.0,995.0,6964.404,5.0,,0,1,LLM
58,EUROPE,,1010.0,1010.0,14382.076,5.0,,0,1,LLM
59,EUROPE,,1045.0,1045.0,12042.097,5.0,,0,1,LLM
60,EUROPE,,1055.0,1055.0,7785.248,5.0,,0,1,LLM
61,USA,,1060.0,1060.0,3.678,5.0,,0,1,LLM
62,BRAZIL,,1065.0,1065.0,1846.352,5.0,,0,1,LLM
63,EUROPE,,1085.0,1085.0,5670.054,5.0,,0,1,LLM
64,EUROPE,,1090.0,1090.0,14854.338,5.0,,0,1,LLM
65,EUROPE,,1115.0,1115.0,45307.907,5.0,,0,1,LLM
66,EUROPE,,1120.0,1120.0,7098.764,5.0,,0,1,LLM
67,EUROPE,,1155.0,1155.0,7566.582,5.0,,0,1,LLM
68,BRAZIL,,1160.0,1160.0,5735.449,5.0,,0,1,LLM
69,BRAZIL,,1190.0,1190.0,12725.087,5.0,,0,1,LLM
